id	year	place	place_abbrv	latitude	longitude	title	author	subjects	publisher
ocm00268356 	1920	milano	it	46.21023	10.82097	[il ferro nell arte italiana centocinquanta tavole riproduzioni in parte inedite di 338 soggetti del medio evo del rinascimento del periodo barocco e neo classisco]	[author:ferrari giulio]	[subject:decoration and ornament italian] [subject:architecture] [subject:ironwork]	[dewey:739]	[publisher:u hoepli]
ocm00273391 	1969	new york	nyu	40.758896	-73.985130	[italian scholarship in renaissance england]	[author:simonini r c]	[subject:italian language] [subject:italien langue]	[publisher:johnson reprint corp]
ocm00276122 	1968	chicago	ilu	42.58613	-87.8248	[from petrarch to leonardo bruni studies in humanistic and political literature]	[author:baron hans]	[subject:littérature italienne] [subject:intellectual life] [subject:renaissance] [subject:letteratura italiana] [subject:italian prose literature]	[publisher:published for the newberry library by the university of chicago press]
ocm00282369 	1900	new york	nyu	40.758896	-73.985130	[italian renaissance photographs and measured drawings with details from the thirteenth to the sixteenth century]	[subject:architecture renaissance] [subject:architecture]	[publisher:architectural book pub co]
ocm00298383 	1871	boston	mau	42.364506	-71.038887	[catalogue of the jarves collection of early italian pictures deposited in the galleries of the yale school of fine arts to be sold by auction in the galleries at yale college new haven conn on thursday november 9th 1871 joseph leonard auct r]	[subject:painting medieval] [subject:painting renaissance] [subject:painting italian]	[publisher:w f brown]
ocm00298826 	1968	new york	nyu	40.758896	-73.985130	[neoplatonism of the italian renaissance]	[author:robb nesca a]	[subject:italian literature] [subject:renaissance] [subject:neoplatonism] [subject:intellectual life]	[publisher:octagon books]
ocm00299797 	1949	basel	sz	47.55773	7.59361	[italienische haeretiker der spätrenaissance]	[author:cantimori delio]	[subject:christian sects] [subject:renaissance] [subject:heterodoxe stromingen] [subject:reformation] [subject:heretics] [subject:hérétiques chrétiens] [subject:réforme]	[publisher:b schwabe]
ocm00306634 	1950	london	enk	51.51334	-0.08901	[studies of italian renaissance sculpture]	[author:valentiner wilhelm reinhold]	[subject:sculpture italian] [subject:plastik] [subject:sculpture renaissance] [subject:renaissance]	[publisher:phaidon press]
ocm00306820 	1965	new york	nyu	40.758896	-73.985130	[the flowering of the italian renaissance]	[author:chastel andré]	[subject:art italian] [subject:art renaissance] [subject:art italien] [subject:art de la renaissance]	[publisher:odyssey press]
ocm00307381 	1968	london	enk	51.51334	-0.08901	[essays on italian sculpture]	[author:pope hennessy john wyndham]	[subject:renaissance] [subject:bronzes] [subject:bronze sculpture italian] [subject:bronzes italian] [subject:aufsatzsammlung] [subject:plastik]	[dewey:730.9]	[publisher:phaidon]
ocm00315976 	1938	leipzig	gw	51.34198	12.37498	[der lebensraum des künstlers in der florentinischen renaissance]	[author:wackernagel martin]	[subject:art] [subject:artists italian] [subject:art renaissance] [subject:künstler] [subject:renaissance]	[publisher:e a seemann]
ocm00318904 	1968	berlin	gw	48.70032	9.01699	[corpus der italienischen zeichnungen 1300 1450]	[author:schmitt annegrit] [author:degenhart bernhard]	[subject:drawing medieval] [subject:drawing renaissance] [subject:drawing gothic] [subject:drawing italian]	[dewey:741.9]	[publisher:mann]
ocm00322893 	1970	firenze	it	45.63637	13.05136	[saggi sul rinascimento italiano]	[author:bosco umberto]	[subject:literatur] [subject:aufsatzsammlung] [subject:renaissance] [subject:italienisch] [subject:renaissance italie]	[dewey:940.2]	[publisher:le monnier]
ocm00330582 	1915	london	enk	51.51334	-0.08901	[shakespeare and the italian renaissance]	[author:lee sidney]	[subject:comparative literature] [subject:learning and scholarship]	[publisher:pub for the british academy by h milford oxford university press]
ocm00331543 		basel	sz	47.55773	7.59361	[die schönsten novellen der italienischen renaissance]	[author:keller walter]	[subject:short stories italian] [subject:short stories english]
ocm00338194 	1964	berkeley	cau	47.07399	-122.3354	[wit and wisdom of the italian renaissance]	[author:speroni charles]	[subject:literatur] [subject:maxims italian] [subject:italian literature] [subject:renaissance] [subject:italian wit and humor] [subject:italienisch]	[publisher:university of california press]
ocm00341383 	1923	philadelphia	pau	38.79396	-75.43346	[decorative furniture a picture book of the beautiful forms of all ages and all periods egyptian assyrian greek roman byzantine chinese japanese persian romanesque gothic french renaissance italian renaissance later italian louis xii xiv xv xvi directoire and empire spanish portuguese flemish dutch swiss elizabethan jacobean charles ii william and mary queen anne early georgia chippendale adam hepplewhite sheraton american colonial modern european and american american mission]	[author:hunter george leland]	[subject:furniture]	[dewey:749]	[publisher:j b lippincott]
ocm00343862 	1961	chicago	ilu	42.58613	-87.8248	[a history of literary criticism in the italian renaissance]	[author:weinberg bernard]	[subject:critique] [subject:italian literature] [subject:littérature italienne] [subject:criticism]	[publisher:university of chicago press]
ocm00344005 	1954	new haven	ctu	44.74415	-104.84469	[lyric poetry of the italian renaissance an anthology with verse translations]	[author:lind l r]	[subject:renaissance] [subject:italian poetry] [subject:poésie italienne]	[publisher:yale university press]
ocm00344386 	1964	london	enk	51.51334	-0.08901	[the spread of italian humanism]	[author:weiss roberto]	[subject:italian literature] [subject:humanisme cultuurgeschiedenis] [subject:renaissance]	[publisher:hutchinson]
ocm00353735 	1968	berkeley	cau	47.07399	-122.3354	[venice and the defense of republican liberty renaissance values in the age of the counter reformation]	[author:bouwsma william j]	[subject:renaissance] [subject:renaissance italie venise] [subject:counter reformation] [subject:interdikt]	[publisher:university of california press]
ocm00360475 	1968	bergamo		41.89894	12.50082	[disegni lombardi cinquecenteschi dell accademia carrara di bergamo]	[subject:drawing renaissance] [subject:drawing italian]	[dewey:741.9]
ocm00367938 	1898	london	enk	51.51334	-0.08901	[renaissance in italy]	[author:symonds john addington]	[subject:humanism] [subject:art italian] [subject:renaissance] [subject:italian literature]	[publisher:smith elder]
ocm00368016 	1880	london	enk	51.51334	-0.08901	[the early teutonic italian and french masters]	[author:keane a h] [author:dohme robert]	[subject:artists] [subject:art renaissance] [subject:art medieval]	[publisher:chatto and windus]
